id,name,type,aliases
Buddy DeSylva::PER,Buddy DeSylva,PER,"[""Buddy DeSylva""]"
Al Lewis::PER,Al Lewis,PER,"[""Al Lewis""]"
Al Sherman::PER,Al Sherman,PER,"[""Al Sherman""]"
Three::NUM,Three,NUM,"[""Three""]"
"California, Here I Come::MISC","California, Here I Come",MISC,"[""California, Here I Come""]"
My Honey 's Lovin' Arms::MISC,My Honey 's Lovin' Arms,MISC,"[""My Honey 's Lovin' Arms""]"
If You Knew Susie::MISC,If You Knew Susie,MISC,"[""If You Knew Susie""]"
"A Cup of Coffee , a Sandwich , and You::MISC","A Cup of Coffee , a Sandwich , and You",MISC,"[""A Cup of Coffee , a Sandwich , and You""]"
Al Dubin::PER,Al Dubin,PER,"[""Al Dubin""]"
Billy Rose::PER,Billy Rose,PER,"[""Billy Rose""]"
Warner Brothers::ORG,Warner Brothers,ORG,"[""Warner Brothers""]"
Wayne Newton::PER,Wayne Newton,PER,"[""Wayne Newton""]"
Summer Colors::MISC,Summer Colors,MISC,"[""Summer Colors""]"
Nancy M. O'Fallon Dowdy::PER,Nancy M. O'Fallon Dowdy,PER,"[""Nancy M. O'Fallon Dowdy""]"
Arms Control Negotiation and Disarmament::ORG,Arms Control Negotiation and Disarmament,ORG,"[""Arms Control Negotiation and Disarmament""]"
American Physical Society::ORG,American Physical Society,ORG,"[""American Physical Society""]"
Live and Let Die::MISC,Live and Let Die,MISC,"[""Live and Let Die""]"
James Bond::PER,James Bond,PER,"[""Bond"", ""James Bond""]"
Paul::PER,Paul,PER,"[""Paul"", ""Paul McCartney""]"
McCartney::PER,McCartney,PER,"[""Linda McCartney"", ""McCartney""]"
Wings::ORG,Wings,ORG,"[""Wings""]"
Beatle::ORG,Beatle,ORG,"[""Beatle""]"
George Martin::PER,George Martin,PER,"[""George Martin""]"
Guns N' Roses::ORG,Guns N' Roses,ORG,"[""Guns N' Roses""]"
Million-Air Award::MISC,Million-Air Award,MISC,"[""Million-Air Award""]"
"Broadcast Music, Inc.::ORG","Broadcast Music, Inc.",ORG,"[""BMI"", ""Broadcast Music, Inc.""]"
4 million::NUM,4 million,NUM,"[""4 million""]"
McLean::PER,McLean,PER,"[""Bruce McLean"", ""McLean""]"
Glasgow School of Art::ORG,Glasgow School of Art,ORG,"[""Glasgow School of Art""]"
Saint Martin's School of Art::ORG,Saint Martin's School of Art,ORG,"[""Saint Martin's School of Art""]"
Saint Martin 's::ORG,Saint Martin 's,ORG,"[""Saint Martin 's""]"
Anthony Caro::PER,Anthony Caro,PER,"[""Anthony Caro""]"
Phillip King::PER,Phillip King,PER,"[""Phillip King""]"
Tate Gallery::LOC,Tate Gallery,LOC,"[""Tate Gallery""]"
The Modern Art Gallery::LOC,The Modern Art Gallery,LOC,"[""The Modern Art Gallery""]"
Museum of Modern Art::LOC,Museum of Modern Art,LOC,"[""Museum of Modern Art""]"
Oxford::LOC,Oxford,LOC,"[""Oxford""]"
John Moores Painting Prize::MISC,John Moores Painting Prize,MISC,"[""John Moores Painting Prize""]"
Mclean::PER,Mclean,PER,"[""Mclean""]"
Will McLean::PER,Will McLean,PER,"[""Will McLean""]"
Tamlyn Naomi Tomita::PER,Tamlyn Naomi Tomita,PER,"[""Tamlyn Naomi Tomita""]"
"January 27, 1966::TIME","January 27, 1966",TIME,"[""January 27, 1966""]"
The Karate Kid Part II::MISC,The Karate Kid Part II,MISC,"[""The Karate Kid Part II""]"
Come See the Paradise::MISC,Come See the Paradise,MISC,"[""Come See the Paradise""]"
The Joy Luck Club::MISC,The Joy Luck Club,MISC,"[""The Joy Luck Club""]"
Picture Bride::MISC,Picture Bride,MISC,"[""Picture Bride""]"
Four Rooms::MISC,Four Rooms,MISC,"[""Four Rooms""]"
Robot Stories::MISC,Robot Stories,MISC,"[""Robot Stories""]"
The Day After Tomorrow::MISC,The Day After Tomorrow,MISC,"[""The Day After Tomorrow""]"
Tomita::PER,Tomita,PER,"[""Tomita""]"
24::MISC,24,MISC,"[""24""]"
Glee::MISC,Glee,MISC,"[""Glee""]"
Teen Wolf::MISC,Teen Wolf,MISC,"[""Teen Wolf""]"
How to Get Away with Murder::MISC,How to Get Away with Murder,MISC,"[""How to Get Away with Murder""]"
Epix::ORG,Epix,ORG,"[""Epix""]"
Berlin Station::MISC,Berlin Station,MISC,"[""Berlin Station""]"
The Good Doctor::MISC,The Good Doctor,MISC,"[""The Good Doctor""]"
Baisetsu Nobutada::PER,Baisetsu Nobutada,PER,"[""Baisetsu Nobutada""]"
Anayama Nobutomo::PER,Anayama Nobutomo,PER,"[""Anayama Nobutomo""]"
Takeda Shingen::PER,Takeda Shingen,PER,"[""Takeda Shingen""]"
Twenty - Four Generals of Takeda Shingen::MISC,Twenty - Four Generals of Takeda Shingen,MISC,"[""Twenty - Four Generals of Takeda Shingen""]"
Battle of Kawanakajima::MISC,Battle of Kawanakajima,MISC,"[""Battle of Kawanakajima""]"
1561::TIME,1561,TIME,"[""1561""]"
Battle of Mikatagahara::MISC,Battle of Mikatagahara,MISC,"[""Battle of Mikatagahara""]"
Battle of Nagashino::MISC,Battle of Nagashino,MISC,"[""Battle of Nagashino""]"
Tokugawa Ieyasu::PER,Tokugawa Ieyasu,PER,"[""Tokugawa"", ""Tokugawa Ieyasu""]"
Takeda Katsuyori::PER,Takeda Katsuyori,PER,"[""Takeda"", ""Takeda Katsuyori""]"
Shinano Province::LOC,Shinano Province,LOC,"[""Shinano Province""]"
Anayama Nobukimi::PER,Anayama Nobukimi,PER,"[""Anayama Nobukimi""]"
fifteen years::TIME,fifteen years,TIME,"[""fifteen years""]"
1572::TIME,1572,TIME,"[""1572""]"
Southwest National Park::LOC,Southwest National Park,LOC,"[""Southwest National Park""]"
Tasmania::LOC,Tasmania,LOC,"[""Tasmania""]"
Tasmanian Wilderness World Heritage Area::LOC,Tasmanian Wilderness World Heritage Area,LOC,"[""Tasmanian Wilderness World Heritage Area""]"
Tasmanian Aborigines::ORG,Tasmanian Aborigines,ORG,"[""Tasmanian Aborigines""]"
"25,000 years::TIME","25,000 years",TIME,"[""25,000 years""]"
Strathgordon::LOC,Strathgordon,LOC,"[""Strathgordon""]"
Melaleuca::LOC,Melaleuca,LOC,"[""Melaleuca""]"
Dropmire::MISC,Dropmire,MISC,"[""Dropmire""]"
NSA::ORG,NSA,ORG,"[""NSA"", ""National Security Agency""]"
June 2013::TIME,June 2013,TIME,"[""June 2013""]"
Edward Snowden::PER,Edward Snowden,PER,"[""Edward Snowden""]"
The Guardian::ORG,The Guardian,ORG,"[""The Guardian""]"
2009 G-20 London Summit::MISC,2009 G-20 London Summit,MISC,"[""2009 G-20 London Summit""]"
UN::LOC,UN,LOC,"[""UN""]"
Ban Ki - moon::PER,Ban Ki - moon,PER,"[""Ban Ki - moon""]"
Hu Ge::PER,Hu Ge,PER,"[""Hu Ge""]"
20 September 1982::TIME,20 September 1982,TIME,"[""20 September 1982""]"
Shanghai Theater Academy::ORG,Shanghai Theater Academy,ORG,"[""Shanghai Theater Academy""]"
Li Xiaoyao::PER,Li Xiaoyao,PER,"[""Li Xiaoyao""]"
Chinese Paladin::MISC,Chinese Paladin,MISC,"[""Chinese Paladin""]"
September 2012::TIME,September 2012,TIME,"[""September 2012""]"
Best Newcomer::MISC,Best Newcomer,MISC,"[""Best Newcomer""]"
31st Hundred Flowers Awards::MISC,31st Hundred Flowers Awards,MISC,"[""31st Hundred Flowers Awards""]"
Lin Juemin::PER,Lin Juemin,PER,"[""Lin Juemin""]"
Mei Changsu::PER,Mei Changsu,PER,"[""Mei Changsu""]"
Nirvana in Fire::MISC,Nirvana in Fire,MISC,"[""Nirvana in Fire""]"
Best Actor Award::MISC,Best Actor Award,MISC,"[""Best Actor Award""]"
22nd Magnolia Awards::MISC,22nd Magnolia Awards,MISC,"[""22nd Magnolia Awards""]"
Hu Ge Studio::ORG,Hu Ge Studio,ORG,"[""Hu Ge Studio""]"
Tangren Media::ORG,Tangren Media,ORG,"[""Tangren Media""]"
Echo Summit::LOC,Echo Summit,LOC,"[""Echo Summit""]"
western United States::LOC,western United States,LOC,"[""western United States""]"
El Dorado County::LOC,El Dorado County,LOC,"[""El Dorado County""]"
U.S. Route 50::LOC,U.S. Route 50,LOC,"[""U.S. Route 50""]"
66.48::NUM,66.48,NUM,"[""66.48""]"
Twin Bridges::LOC,Twin Bridges,LOC,"[""Twin Bridges""]"
Meyers::LOC,Meyers,LOC,"[""Meyers""]"
Lake Tahoe::LOC,Lake Tahoe,LOC,"[""Lake Tahoe""]"
Sierra Nevada Southern Route::LOC,Sierra Nevada Southern Route,LOC,"[""Pioneer Route"", ""Sierra Nevada Southern Route""]"
Lincoln Highway::LOC,Lincoln Highway,LOC,"[""Lincoln Highway""]"
Johnson Pass::LOC,Johnson Pass,LOC,"[""Johnson Pass""]"
Sierra Nevada Northern Route::LOC,Sierra Nevada Northern Route,LOC,"[""Sierra Nevada Northern Route""]"
Donner Pass::LOC,Donner Pass,LOC,"[""Donner Pass""]"
Pacific Coast National Scenic Trail::LOC,Pacific Coast National Scenic Trail,LOC,"[""Pacific Coast National Scenic Trail""]"
South San Francisco Hillside Sign::LOC,South San Francisco Hillside Sign,LOC,"[""South San Francisco Hillside Sign""]"
South San Francisco::LOC,South San Francisco,LOC,"[""South San Francisco""]"
San Mateo County::LOC,San Mateo County,LOC,"[""San Mateo County""]"
Sign Hill Park::LOC,Sign Hill Park,LOC,"[""Sign Hill Park""]"
U.S. 101::LOC,U.S. 101,LOC,"[""U.S. 101""]"
San Bruno Mountains::LOC,San Bruno Mountains,LOC,"[""San Bruno Mountains""]"
Huracán Ramírez::PER,Huracán Ramírez,PER,"[""Huracán Ramírez"", ""Hurricane Ramirez""]"
García::PER,García,PER,"[""Daniel García Arteaga"", ""Garcia"", ""García""]"
"April 9 , 1926::TIME","April 9 , 1926",TIME,"[""April 9 , 1926""]"
"October 31 , 2006::TIME","October 31 , 2006",TIME,"[""October 31 , 2006""]"
mid-1950s::TIME,mid-1950s,TIME,"[""mid-1950s""]"
Eduardo Bonada::PER,Eduardo Bonada,PER,"[""Eduardo Bonada""]"
Huracan::PER,Huracan,PER,"[""Huracan""]"
Santo::PER,Santo,PER,"[""El Hijo del Santo"", ""Santo""]"
Blue Demon::PER,Blue Demon,PER,"[""Blue Demon""]"
Mil Mascaras::PER,Mil Mascaras,PER,"[""Mil Mascaras""]"
the / la Huracánrana::MISC,the / la Huracánrana,MISC,"[""the / la Huracánrana""]"
On the Knocking at the Gate in Macbeth::MISC,On the Knocking at the Gate in Macbeth,MISC,"[""On the Knocking at the Gate in Macbeth""]"
Shakespearean::MISC,Shakespearean,MISC,"[""Shakespearean""]"
De Quincey::PER,De Quincey,PER,"[""De Quincey"", ""Thomas De Quincey""]"
October 1823::TIME,October 1823,TIME,"[""October 1823""]"
The London Magazine::MISC,The London Magazine,MISC,"[""The London Magazine""]"
2000::NUM,2000,NUM,"[""2000""]"
Macbeth::MISC,Macbeth,MISC,"[""Macbeth""]"
The Tragedy of Macbeth::MISC,The Tragedy of Macbeth,MISC,"[""The Tragedy of Macbeth""]"
Duncan::PER,Duncan,PER,"[""Duncan""]"
Macbeth::PER,Macbeth,PER,"[""Macbeth""]"
Lady Macbeth::PER,Lady Macbeth,PER,"[""Lady Macbeth""]"
Macduff::PER,Macduff,PER,"[""Macduff""]"
Lennox::PER,Lennox,PER,"[""Lennox""]"
Horace Ainsworth Eaton::PER,Horace Ainsworth Eaton,PER,"[""Horace Ainsworth Eaton""]"
Coleridge::PER,Coleridge,PER,"[""Coleridge""]"
Hazlitt::PER,Hazlitt,PER,"[""Hazlitt""]"
On Murder Considered as one of the Fine Arts::MISC,On Murder Considered as one of the Fine Arts,MISC,"[""On Murder Considered as one of the Fine Arts""]"
Cape Enrage::LOC,Cape Enrage,LOC,"[""Cape Enrage""]"
Barn Marsh Island::LOC,Barn Marsh Island,LOC,"[""Barn Marsh Island""]"
Albert County::LOC,Albert County,LOC,"[""Albert County""]"
Riverside-Albert::LOC,Riverside-Albert,LOC,"[""Riverside-Albert""]"
Alma::LOC,Alma,LOC,"[""Alma""]"
Fundy National Park::LOC,Fundy National Park,LOC,"[""Fundy National Park""]"
Route 915::LOC,Route 915,LOC,"[""Route 915""]"
50 metres::NUM,50 metres,NUM,"[""145   ft"", ""50 metres""]"
Chignecto Bay::LOC,Chignecto Bay,LOC,"[""Chignecto Bay""]"
Kramer::PER,Kramer,PER,"[""Christian Kramer"", ""Kramer""]"
Master of the King 's Musick::MISC,Master of the King 's Musick,MISC,"[""Master of the King 's Musick""]"
William IV::PER,William IV,PER,"[""William IV""]"
Hannover::LOC,Hannover,LOC,"[""Hannover""]"
Peter Winter::PER,Peter Winter,PER,"[""Peter Winter""]"
Dwight 's Journal of Music::MISC,Dwight 's Journal of Music,MISC,"[""Dwight 's Journal of Music""]"
John Dwight::PER,John Dwight,PER,"[""John Dwight""]"
Dictionary of Musical Information::MISC,Dictionary of Musical Information,MISC,"[""Dictionary of Musical Information""]"
Solferino::LOC,Solferino,LOC,"[""Solferino""]"
Upper Mantovano::LOC,Upper Mantovano,LOC,"[""Upper Mantovano""]"
Lombardy::LOC,Lombardy,LOC,"[""Lombardy""]"
Lake Garda::LOC,Lake Garda,LOC,"[""Lake Garda""]"
Battle of Solferino::MISC,Battle of Solferino,MISC,"[""Battle of Solferino""]"
24 June 1859::TIME,24 June 1859,TIME,"[""24 June 1859""]"
Second Italian War of Independence::MISC,Second Italian War of Independence,MISC,"[""Second Italian War of Independence""]"
Italo::LOC,Italo,LOC,"[""Italo""]"
Rocca::LOC,Rocca,LOC,"[""Rocca""]"
Jean-Henri Dunant::PER,Jean-Henri Dunant,PER,"[""Dunant"", ""Jean-Henri Dunant""]"
Napoléon III::PER,Napoléon III,PER,"[""Napoléon III""]"
Geneva Conventions::MISC,Geneva Conventions,MISC,"[""Geneva Conventions""]"
Red Cross::ORG,Red Cross,ORG,"[""Red Cross"", ""the International Committee of the Red Cross""]"
A Memory of Solferino::MISC,A Memory of Solferino,MISC,"[""A Memory of Solferino""]"
23::TIME,23,TIME,"[""23""]"
28 June 2009::TIME,28 June 2009,TIME,"[""28 June 2009""]"
Red Crescent Movement::ORG,Red Crescent Movement,ORG,"[""Red Crescent Movement""]"
Solferino 2009 Celebrations::MISC,Solferino 2009 Celebrations,MISC,"[""Solferino 2009 Celebrations""]"
Princess Diana's Revenge::MISC,Princess Diana's Revenge,MISC,"[""Princess Diana's Revenge""]"
de Larrabeiti::PER,de Larrabeiti,PER,"[""Michael de Larrabeiti"", ""de Larrabeiti""]"
Tallis House::ORG,Tallis House,ORG,"[""Tallis House""]"
The Bunce::MISC,The Bunce,MISC,"[""The Bunce""]"
The Hollywood Takes::MISC,The Hollywood Takes,MISC,"[""The Hollywood Takes""]"
Curtis Brown::PER,Curtis Brown,PER,"[""Curtis Brown""]"
Tallis House::MISC,Tallis House,MISC,"[""Tallis House""]"
Jim Munroe::PER,Jim Munroe,PER,"[""Jim Munroe""]"
Joe Rapps::PER,Joe Rapps,PER,"[""Joe Rapps"", ""Rapps""]"
Milton Magna::LOC,Milton Magna,LOC,"[""Milton Magna""]"
Oxfordshire::LOC,Oxfordshire,LOC,"[""Oxfordshire""]"
Great Milton::LOC,Great Milton,LOC,"[""Great Milton""]"
Diana::PER,Diana,PER,"[""Diana""]"
31 August 1997::TIME,31 August 1997,TIME,"[""31 August 1997""]"
The Borrible Trilogy::MISC,The Borrible Trilogy,MISC,"[""The Borrible Trilogy""]"
SCFD::ORG,SCFD,ORG,"[""SCFD"", ""Scientific and Cultural Facilities District""]"
State of Colorado::LOC,State of Colorado,LOC,"[""State of Colorado""]"
Denver Metropolitan Area::LOC,Denver Metropolitan Area,LOC,"[""Denver Metropolitan Area""]"
0.1%::NUM,0.1%,NUM,"[""0.1%""]"
240::NUM,240,NUM,"[""240""]"
Adams::LOC,Adams,LOC,"[""Adams""]"
Arapahoe::LOC,Arapahoe,LOC,"[""Arapahoe""]"
Broomfield::LOC,Broomfield,LOC,"[""Broomfield""]"
Douglas::LOC,Douglas,LOC,"[""Douglas""]"
Jefferson::LOC,Jefferson,LOC,"[""Jefferson""]"
2030::TIME,2030,TIME,"[""2030""]"
Jasun Martz::PER,Jasun Martz,PER,"[""Jasun Martz""]"
Michael Jackson::PER,Michael Jackson,PER,"[""Michael Jackson""]"
Frank Zappa::PER,Frank Zappa,PER,"[""Frank Zappa""]"
We Built this City::MISC,We Built this City,MISC,"[""We Built this City""]"
Starship::ORG,Starship,ORG,"[""Starship""]"
Martz::PER,Martz,PER,"[""Martz""]"
Jean Dubuffet::PER,Jean Dubuffet,PER,"[""Jean Dubuffet""]"
The Pillory::MISC,The Pillory,MISC,"[""The Pillory""]"
Sphecomyrminae::MISC,Sphecomyrminae,MISC,"[""Sphecomyrminae""]"
Formicidae::MISC,Formicidae,MISC,"[""Formicidae""]"
Haidomyrmecini::MISC,Haidomyrmecini,MISC,"[""Haidomyrmecini""]"
Sphecomyrmini::MISC,Sphecomyrmini,MISC,"[""Sphecomyrmini""]"
Ceratomyrmex::MISC,Ceratomyrmex,MISC,"[""Ceratomyrmex""]"
Haidomyrmex::MISC,Haidomyrmex,MISC,"[""Haidomyrmex""]"
Haidomyrmodes::MISC,Haidomyrmodes,MISC,"[""Haidomyrmodes""]"
Haidoterminus::MISC,Haidoterminus,MISC,"[""Haidoterminus""]"
Linguamyrmex::MISC,Linguamyrmex,MISC,"[""Linguamyrmex""]"
Baikuris::MISC,Baikuris,MISC,"[""Baikuris""]"
Cretomyrma::MISC,Cretomyrma,MISC,"[""Cretomyrma""]"
Dlusskyidris::MISC,Dlusskyidris,MISC,"[""Dlusskyidris""]"
Sphecomyrma::MISC,Sphecomyrma,MISC,"[""Sphecomyrma""]"
Zigrasimecia::MISC,Zigrasimecia,MISC,"[""Zigrasimecia""]"
Sphecomyrmodes::MISC,Sphecomyrmodes,MISC,"[""Sphecomyrmodes""]"
Gerontoformica::MISC,Gerontoformica,MISC,"[""Gerontoformica""]"
Symplesiomorphies::MISC,Symplesiomorphies,MISC,"[""Symplesiomorphies""]"
CuA veins::MISC,CuA veins,MISC,"[""CuA veins""]"
Bosley::PER,Bosley,PER,"[""Bosley"", ""John William Bosley""]"
"May 4, 1947::TIME","May 4, 1947",TIME,"[""May 4, 1947""]"
"November 5 , 1984::TIME","November 5 , 1984",TIME,"[""November 5 , 1984""]"
University of Trinity College::ORG,University of Trinity College,ORG,"[""University of Trinity College""]"
Progressive Conservative Party of Canada::ORG,Progressive Conservative Party of Canada,ORG,"[""Progressive Conservative Party"", ""Progressive Conservative Party of Canada""]"
Don Valley West::LOC,Don Valley West,LOC,"[""Don Valley West""]"
Joe Clark::PER,Joe Clark,PER,"[""Joe Clark""]"
"June 27, 1985::TIME","June 27, 1985",TIME,"[""June 27, 1985""]"
Standing Orders::MISC,Standing Orders,MISC,"[""Standing Orders""]"
"September 30, 1986::TIME","September 30, 1986",TIME,"[""September 30, 1986""]"
John Fraser::PER,John Fraser,PER,"[""John Fraser""]"
157::NUM,157,NUM,"[""157""]"
Institutional Development to Parliaments::ORG,Institutional Development to Parliaments,ORG,"[""Institutional Development to Parliaments""]"
Saharan Africa::LOC,Saharan Africa,LOC,"[""Saharan Africa""]"
Norssi::ORG,Norssi,ORG,"[""Helsingin normaalilyseo"", ""Normal Lyceum"", ""Normal Lyceum of Helsinki"", ""Norssi""]"
University of Helsinki::ORG,University of Helsinki,ORG,"[""University of Helsinki""]"
Ressun Lukio::ORG,Ressun Lukio,ORG,"[""Helsingin reaalilyseo"", ""Ressu Upper Secondary School"", ""Ressun Lukio"", ""Ressun lukio""]"
Helsingin yliopiston Viikin normaalikoulu::ORG,Helsingin yliopiston Viikin normaalikoulu,ORG,"[""Helsingin yliopiston Viikin normaalikoulu""]"
vanha Norssi::ORG,vanha Norssi,ORG,"[""vanha Norssi""]"
Helsingin Suomalainen Yhteiskoulu::ORG,Helsingin Suomalainen Yhteiskoulu,ORG,"[""Helsingin Suomalainen Yhteiskoulu""]"
Sefer Nizzahon Yashan::MISC,Sefer Nizzahon Yashan,MISC,"[""Sefer Nizzahon Yashan"", ""ספר ניצחון""]"
The ( old ) Book of Victory::MISC,The ( old ) Book of Victory,MISC,"[""The ( old ) Book of Victory""]"
13th Century::TIME,13th Century,TIME,"[""13th Century""]"
Yom-Tov Lipmann-Muhlhausen::PER,Yom-Tov Lipmann-Muhlhausen,PER,"[""Yom-Tov Lipmann-Muhlhausen""]"
Sefer Nizzahon::MISC,Sefer Nizzahon,MISC,"[""Sefer Nizzahon""]"
1401::TIME,1401,TIME,"[""1401""]"
Mordechai Breuer::PER,Mordechai Breuer,PER,"[""Mordechai Breuer""]"
David Berger::PER,David Berger,PER,"[""David Berger""]"
Jewish Publication Society::ORG,Jewish Publication Society,ORG,"[""Jewish Publication Society""]"
Protestant Hebraists::ORG,Protestant Hebraists,ORG,"[""Protestant Hebraists""]"
Johann Reuchlin::PER,Johann Reuchlin,PER,"[""Johann Reuchlin""]"
Sebastian Münster::PER,Sebastian Münster,PER,"[""Sebastian Münster""]"
Wolfgang Capito::PER,Wolfgang Capito,PER,"[""Wolfgang Capito""]"
Immanuel Tremellius::PER,Immanuel Tremellius,PER,"[""Immanuel Tremellius""]"
Jean Calvin::PER,Jean Calvin,PER,"[""Jean Calvin""]"
Martin Luther::PER,Martin Luther,PER,"[""Martin Luther""]"
Shadowrun : Hong Kong::MISC,Shadowrun : Hong Kong,MISC,"[""Shadowrun : Hong Kong""]"
Shadowrun::MISC,Shadowrun,MISC,"[""Shadowrun""]"
Harebrained Schemes::ORG,Harebrained Schemes,ORG,"[""Harebrained Schemes""]"
Shadowrun Returns::MISC,Shadowrun Returns,MISC,"[""Shadowrun Returns""]"
January 2015::TIME,January 2015,TIME,"[""August 2015"", ""February 2015"", ""January 2015""]"
Kickstarter::ORG,Kickstarter,ORG,"[""Kickstarter""]"
"US$ 100,000::NUM","US$ 100,000",NUM,"[""US$ 100,000""]"
$1.2 million::NUM,$1.2 million,NUM,"[""$1.2 million""]"
Dragonfall::MISC,Dragonfall,MISC,"[""Dragonfall""]"
OS X::MISC,OS X,MISC,"[""OS X""]"
Linux::MISC,Linux,MISC,"[""Linux""]"
February 2016::TIME,February 2016,TIME,"[""February 2016""]"
Musgrave::PER,Musgrave,PER,"[""Musgrave"", ""Samuel Musgrave""]"
29 September 1732::TIME,29 September 1732,TIME,"[""29 September 1732""]"
5 July 1780::TIME,5 July 1780,TIME,"[""5 July 1780""]"
Washfield::LOC,Washfield,LOC,"[""Washfield""]"
Devon::LOC,Devon,LOC,"[""Devon""]"
Radcliffe travelling fellowship::MISC,Radcliffe travelling fellowship,MISC,"[""Radcliffe travelling fellowship""]"
1766::TIME,1766,TIME,"[""1766""]"
Exeter::LOC,Exeter,LOC,"[""Exeter""]"
Plymouth::LOC,Plymouth,LOC,"[""Plymouth"", ""Plymouth Sound""]"
Treaty of Paris::MISC,Treaty of Paris,MISC,"[""Treaty of Paris""]"
1763::TIME,1763,TIME,"[""1763""]"
Charles d'Eon de Beaumont::PER,Charles d'Eon de Beaumont,PER,"[""Charles d'Eon de Beaumont"", ""Eon de Beaumont""]"
Euripides::MISC,Euripides,MISC,"[""Euripides""]"
Joshua Barnes::PER,Joshua Barnes,PER,"[""Joshua Barnes""]"
egghead::MISC,egghead,MISC,"[""egghead""]"
boffin::MISC,boffin,MISC,"[""boffin""]"
Adlai Stevenson::PER,Adlai Stevenson,PER,"[""Adlai Stevenson""]"
Paul Begala::PER,Paul Begala,PER,"[""Paul Begala""]"
River of Dreams::MISC,River of Dreams,MISC,"[""River of Dreams""]"
Joel::PER,Joel,PER,"[""Billy Joel"", ""Joel""]"
"August 10, 1993::TIME","August 10, 1993",TIME,"[""1993"", ""August 10, 1993""]"
Hyung - ki Joo::PER,Hyung - ki Joo,PER,"[""Hyung - ki Joo""]"
A Minor Variation::MISC,A Minor Variation,MISC,"[""A Minor Variation""]"
Great Wall of China::MISC,Great Wall of China,MISC,"[""Great Wall of China""]"
Frank Weber::PER,Frank Weber,PER,"[""Frank Weber""]"
Christie Brinkley::PER,Christie Brinkley,PER,"[""Christie Brinkley""]"
Top Picks::ORG,Top Picks,ORG,"[""Top Picks""]"
""" The Best Album Cover of the Year ""::MISC",""" The Best Album Cover of the Year """,MISC,"[""\"" The Best Album Cover of the Year \""""]"
"April 6, 2018::TIME","April 6, 2018",TIME,"[""April 6, 2018""]"
Mariechen M. Wehselau::PER,Mariechen M. Wehselau,PER,"[""Mariechen Jackson"", ""Mariechen M. Wehselau"", ""Wehselau""]"
"May 15 , 1906::TIME","May 15 , 1906",TIME,"[""May 15 , 1906""]"
"July 12 , 1992::TIME","July 12 , 1992",TIME,"[""July 12 , 1992""]"
1924 Summer Olympics in Paris::MISC,1924 Summer Olympics in Paris,MISC,"[""1924 Summer Olympics in Paris""]"
4×100-meter::NUM,4×100-meter,NUM,"[""100-meter"", ""4×100-meter""]"
Euphrasia Donnelly::PER,Euphrasia Donnelly,PER,"[""Euphrasia Donnelly""]"
Gertrude Ederle::PER,Gertrude Ederle,PER,"[""Gertrude Ederle""]"
Ethel Lackie::PER,Ethel Lackie,PER,"[""Ethel Lackie""]"
4:58.8::NUM,4:58.8,NUM,"[""4:58.8""]"
1:12.8::NUM,1:12.8,NUM,"[""1:12.8""]"
Games Wehselau::MISC,Games Wehselau,MISC,"[""Games Wehselau""]"
Australian Swimming Association::ORG,Australian Swimming Association,ORG,"[""Australian Swimming Association""]"
Dad Center::PER,Dad Center,PER,"[""Dad Center""]"
International Swimming Hall of Fame::MISC,International Swimming Hall of Fame,MISC,"[""International Swimming Hall of Fame""]"
Honor Pioneer Swimmer::MISC,Honor Pioneer Swimmer,MISC,"[""Honor Pioneer Swimmer""]"
Honolulu::LOC,Honolulu,LOC,"[""Honolulu""]"
S. Ali Raza::PER,S. Ali Raza,PER,"[""S. Ali Raza""]"
9 January 1925::TIME,9 January 1925,TIME,"[""9 January 1925""]"
1 November 2007::TIME,1 November 2007,TIME,"[""1 November 2007""]"
Aan::MISC,Aan,MISC,"[""Aan""]"
Andaz::MISC,Andaz,MISC,"[""Andaz""]"
Mother India::MISC,Mother India,MISC,"[""Mother India""]"
Reshma Aur Shera::MISC,Reshma Aur Shera,MISC,"[""Reshma Aur Shera""]"
Raja Jani::MISC,Raja Jani,MISC,"[""Raja Jani""]"
Dus Numbri::MISC,Dus Numbri,MISC,"[""Dus Numbri""]"
Filmfare award::MISC,Filmfare award,MISC,"[""Filmfare award""]"
Saraswatichandra::MISC,Saraswatichandra,MISC,"[""Saraswatichandra""]"
Pran Jaye Par Vachan Na Jaye::MISC,Pran Jaye Par Vachan Na Jaye,MISC,"[""Pran Jaye Par Vachan Na Jaye""]"
Nimmi::PER,Nimmi,PER,"[""Nimmi""]"
Uran Khatola::MISC,Uran Khatola,MISC,"[""Uran Khatola""]"
Barsaat::MISC,Barsaat,MISC,"[""Barsaat""]"
Deedar::MISC,Deedar,MISC,"[""Deedar""]"
Amar::MISC,Amar,MISC,"[""Amar""]"
Char Paise::MISC,Char Paise,MISC,"[""Char Paise""]"
Rajdhani::MISC,Rajdhani,MISC,"[""Rajdhani""]"
Shamma::MISC,Shamma,MISC,"[""Shamma""]"
Pooja Ke Phool::MISC,Pooja Ke Phool,MISC,"[""Pooja Ke Phool""]"
Mere Mehboob::MISC,Mere Mehboob,MISC,"[""Mere Mehboob""]"
85::TIME,85,TIME,"[""85""]"
Julio Rafael Pineda::PER,Julio Rafael Pineda,PER,"[""Julio Rafael Pineda"", ""Pineda""]"
"December 20, 1937::TIME","December 20, 1937",TIME,"[""December 20, 1937""]"
four decades::NUM,four decades,NUM,"[""four decades""]"
